time,Mkt-RF,RF
20131014,0.44,0
20131015,-0.73,0
20131016,1.37,0
20131017,0.7,0
20131018,0.73,0
20131021,-0.02,0
20131022,0.5,0
20131023,-0.51,0
20131024,0.42,0
20131025,0.33,0
20131028,0.09,0
20131029,0.54,0
20131030,-0.61,0
20131031,-0.34,0
20131101,0.2,0
20131104,0.47,0
20131105,-0.23,0
20131106,0.27,0
20131107,-1.46,0
20131108,1.45,0
20131111,0.12,0
20131112,-0.19,0
20131113,0.9,0
20131114,0.43,0
20131115,0.43,0
20131118,-0.5,0
20131119,-0.27,0
20131120,-0.33,0
20131121,0.97,0
20131122,0.5,0
20131125,-0.11,0
20131126,0.18,0
20131127,0.3,0
20131129,-0.02,0
20131202,-0.31,0
20131203,-0.34,0
20131204,-0.07,0
20131205,-0.35,0
20131206,1.02,0
20131209,0.17,0
20131210,-0.34,0
20131211,-1.17,0
20131212,-0.23,0
20131213,0.1,0
20131216,0.67,0
20131217,-0.26,0
20131218,1.55,0
20131219,-0.1,0
20131220,0.69,0
20131223,0.62,0
20131224,0.34,0
20131226,0.44,0
20131227,-0.05,0
20131230,0,0
20131231,0.44,0
20140102,-0.88,0
20140103,0.03,0
20140106,-0.34,0
20140107,0.68,0
20140108,0.04,0
20140109,0.02,0
20140110,0.27,0
20140113,-1.32,0
20140114,1.15,0
20140115,0.53,0
20140116,-0.07,0
20140117,-0.39,0
20140121,0.3,0
20140122,0.15,0
20140123,-0.86,0
20140124,-2.19,0
20140127,-0.65,0
20140128,0.73,0
20140129,-1.07,0
20140130,1.22,0
20140131,-0.66,0
20140203,-2.49,0
20140204,0.77,0
20140205,-0.23,0
20140206,1.21,0
20140207,1.33,0
20140210,0.16,0
20140211,1.09,0
20140212,0.11,0
20140213,0.72,0
20140214,0.42,0
20140218,0.27,0
20140219,-0.74,0
20140220,0.7,0
20140221,-0.09,0
20140224,0.65,0
20140225,-0.1,0
20140226,0.12,0
20140227,0.54,0
20140228,0.15,0
20140303,-0.7,0
20140304,1.67,0
20140305,0.01,0
20140306,0.16,0
20140307,0.04,0
20140310,-0.09,0
20140311,-0.62,0
20140312,0.13,0
20140313,-1.21,0
20140314,-0.16,0
20140317,0.9,0
20140318,0.82,0
20140319,-0.59,0
20140320,0.52,0
20140321,-0.37,0
20140324,-0.64,0
20140325,0.3,0
20140326,-0.89,0
20140327,-0.19,0
20140328,0.41,0
20140331,0.97,0
20140401,0.87,0
20140402,0.29,0
20140403,-0.31,0
20140404,-1.47,0
20140407,-1.26,0
20140408,0.5,0
20140409,1.21,0
20140410,-2.24,0
20140411,-1.07,0
20140414,0.7,0
20140415,0.59,0
20140416,1.13,0
20140417,0.23,0
20140421,0.36,0
20140422,0.58,0
20140423,-0.31,0
20140424,0.08,0
20140425,-1.05,0
20140428,0.11,0
20140429,0.56,0
20140430,0.35,0
20140501,0.04,0
20140502,-0.07,0
20140505,0.13,0
20140506,-1.03,0
20140507,0.45,0
20140508,-0.26,0
20140509,0.25,0
20140512,1.2,0
20140513,-0.05,0
20140514,-0.6,0
20140515,-0.9,0
20140516,0.36,0
20140519,0.5,0
20140520,-0.78,0
20140521,0.81,0
20140522,0.36,0
20140523,0.49,0
