time,vwretd,sprtrn,spindx
2017/1/3,0.008205,0.008487,2257.83
2017/1/4,0.008618,0.005722,2270.75
2017/1/5,-0.000945,-0.000771,2269
2017/1/6,0.00231,0.003517,2276.98
2017/1/9,-0.003925,-0.003549,2268.9
2017/1/10,0.001311,0,2268.9
2017/1/11,0.003227,0.00283,2275.32
2017/1/12,-0.002536,-0.002145,2270.44
2017/1/13,0.002819,0.00185,2274.64
2017/1/17,-0.003693,-0.002968,2267.89
2017/1/18,0.001415,0.001764,2271.89
2017/1/19,-0.003889,-0.003609,2263.69
2017/1/20,0.003625,0.003366,2271.31
2017/1/23,-0.001921,-0.00269,2265.2
2017/1/24,0.008375,0.006565,2280.07
2017/1/25,0.008078,0.008026,2298.37
2017/1/26,-0.00115,-0.000735,2296.68
2017/1/27,-0.001599,-0.000866,2294.69
2017/1/30,-0.007057,-0.00601,2280.9
2017/1/31,0.000839,-0.00089,2278.87
2017/2/1,0.000282,0.000298,2279.55
2017/2/2,0.000599,0.00057,2280.85
2017/2/3,0.007801,0.007265,2297.42
2017/2/6,-0.002713,-0.002115,2292.56
2017/2/7,-0.000541,0.000227,2293.08
2017/2/8,0.001224,0.000693,2294.67
2017/2/9,0.00649,0.005753,2307.87
2017/2/10,0.004103,0.003566,2316.1
2017/2/13,0.004652,0.005246,2328.25
2017/2/14,0.003882,0.004007,2337.58
2017/2/15,0.004785,0.004992,2349.25
2017/2/16,-0.001251,-0.000864,2347.22
2017/2/17,0.0019,0.001679,2351.16
2017/2/21,0.005811,0.006048,2365.38
2017/2/22,-0.001741,-0.001082,2362.82
2017/2/23,-0.000909,0.000419,2363.81
2017/2/24,0.00045,0.001493,2367.34
2017/2/27,0.001995,0.001018,2369.75
2017/2/28,-0.004647,-0.002578,2363.64
2017/3/1,0.013366,0.013674,2395.96
2017/3/2,-0.006862,-0.00586,2381.92
2017/3/3,0.000944,0.000504,2383.12
2017/3/6,-0.003808,-0.003277,2375.31
2017/3/7,-0.003455,-0.002913,2368.39
2017/3/8,-0.003233,-0.002284,2362.98
2017/3/9,-0.000246,0.0008,2364.87
2017/3/10,0.003446,0.003269,2372.6
2017/3/13,0.001665,0.000367,2373.47
2017/3/14,-0.00418,-0.003379,2365.45
2017/3/15,0.010125,0.008375,2385.26
2017/3/16,-0.000614,-0.001627,2381.38
2017/3/17,-0.000812,-0.001314,2378.25
2017/3/20,-0.002332,-0.00201,2373.47
2017/3/21,-0.013602,-0.012408,2344.02
2017/3/22,0.001795,0.00189,2348.45
2017/3/23,0.000156,-0.00106,2345.96
2017/3/24,-0.000317,-0.000844,2343.98
2017/3/27,-0.000361,-0.00102,2341.59
2017/3/28,0.006893,0.007251,2358.57
2017/3/29,0.002268,0.001085,2361.13
2017/3/30,0.002599,0.002935,2368.06
2017/3/31,-0.001095,-0.002255,2362.72
2017/4/3,-0.002624,-0.001642,2358.84
2017/4/4,0.000621,0.00056,2360.16
2017/4/5,-0.004134,-0.003055,2352.95
2017/4/6,0.003506,0.00193,2357.49
2017/4/7,-0.000717,-0.000827,2355.54
2017/4/10,0.001468,0.000688,2357.16
2017/4/11,-0.000127,-0.001434,2353.78
2017/4/12,-0.004575,-0.00376,2344.93
